TIME,RISE,COUN,ENER,DURATION,AMP,SHEAR STRESS
22.043578,13,6,3,50,63,0.390146721
22.3021182,9,6,4,38,64,0.399004894
25.244743,18,4,1,38,59,0.44119054
25.2479432,6,7,3,83,61,0.44119054
26.2388203,4,3,1,24,58,0.450252658
27.1432967,19,4,1,46,54,0.467366668
28.1702137,10,3,1,17,58,0.481138188
30.733971,15,6,2,34,62,0.516949377
30.7414193,15,5,1,31,60,0.516949377
30.8117978,5,10,4,85,66,0.519621446
31.2021277,1,4,1,33,58,0.523656601
31.3612338,48,13,6,134,62,0.529874149
31.4309398,48,1,6,134,49,0.529874149
32.066151,7,10,4,83,63,0.543313791
32.9936053,10,4,1,30,59,0.54899824
37.2313367,9,5,3,52,61,0.605154816
37.26433,17,7,3,55,61,0.605154816
37.4334383,19,6,2,42,61,0.604924004
37.5018752,20,8,5,68,64,0.604924004
38.2598073,11,4,1,32,59,0.619278753
38.3265998,1,4,1,16,57,0.625685599
38.8794947,8,11,7,117,69,0.628253474
38.897279,3,5,1,26,59,0.628253474
38.9012293,1,5,1,51,59,0.628253474
39.573687,3,5,3,54,66,0.634620214
39.7402842,6,3,1,20,59,0.634620214
39.8495572,8,3,1,53,57,0.6374794
42.3545873,8,5,2,57,61,0.666818812
42.3845433,4,5,2,38,64,0.666818812
43.1680237,17,3,1,52,56,0.678210959
43.9093228,3,3,1,23,59,0.692731845
45.1593377,153,29,26,396,75,0.709197974
45.198438,4,5,2,39,62,0.709197974
46.1829387,46,1,1,46,52,0.721343953
46.4965037,22,11,5,121,63,0.720662613
47.661188,83,11,5,163,64,0.738236326
48.062293,2,3,1,34,58,0.744854842
48.9164518,2,4,1,48,60,0.756157543
49.77621,3,12,5,99,63,0.766348849
49.9142258,6,3,1,25,57,0.774103692
51.28681,771,12,7,851,66,0.791940651
51.6643188,7,5,2,57,62,0.801196412
51.8887857,34,22,16,212,68,0.805297065
51.9667017,17,5,1,38,58,0.805297065
52.2519002,22,7,4,80,63,0.808585391
52.6019807,16,16,11,173,70,0.810970896
52.773361,3,8,3,80,63,0.810970896
53.995548,4,13,11,112,72,0.827130957
54.7395563,17,10,6,97,67,0.840389817
54.8696127,17,1,6,97,48,0.842184873
